Age,Potential,foot,Value,Wage,Height_cm,Weight_kg,Acceleration,Sprint speed,Agility,Reactions,Balance,Stamina,Strength,International reputation,Is_On_Loan,Is_Free_Agent,Contract_Years_Left,Team_encoded,Forward Score,Midfielder Score,Defender Score,Goalkeeper Score,Position Category_Defender,Position Category_Forward,Position Category_Goalkeeper,Position Category_Midfielder
19,89,1,16.648723960844016,9.305741456739437,183,70,83,80,78.0,73,76.0,78,75,1,0,0,3,15.178288918667416,69.6,70.4,73.4,12.8,1.0,0.0,0.0,0.0
16,84,1,14.285514812209817,8.699681400989514,173,67,72,75,74.0,63,78.0,58,49,1,0,0,3,14.528958894506292,64.6,63.2,53.8,9.8,0.0,0.0,0.0,1.0
25,89,1,18.32637007547013,11.652696102959752,170,71,87,85,87.0,88,87.0,83,72,4,0,0,4,16.42139647839006,86.6,83.2,57.8,9.0,0.0,0.0,0.0,1.0
24,88,1,18.10597001281129,11.918397239722838,178,78,68,68,75.0,86,78.0,86,67,3,0,0,6,16.59104508805564,74.2,87.0,72.0,7.8,0.0,0.0,0.0,1.0
19,86,1,16.929025911619092,9.90353755128617,183,75,81,75,80.0,78,78.0,77,69,1,0,0,4,13.429671974294894,78.4,76.6,68.6,9.6,0.0,0.0,0.0,1.0
19,86,1,17.233237274364523,10.87806606028079,179,70,81,80,75.0,78,72.0,66,59,1,0,0,4,15.981012509491103,80.8,72.2,47.8,10.6,0.0,1.0,0.0,0.0
17,85,1,15.955576839107596,10.373522431293592,176,65,91,88,85.0,73,78.0,58,48,1,0,0,2,16.971758479457478,78.0,64.2,30.4,10.8,0.0,1.0,0.0,0.0
18,89,1,17.813711277982097,10.714439990727769,181,76,90,93,86.0,79,79.0,69,65,1,0,0,4,16.41103757106527,84.8,74.8,44.2,9.8,0.0,0.0,0.0,1.0
25,85,1,17.426428497635523,11.561725152903833,173,69,78,78,80.0,80,71.0,91,68,3,0,0,2,16.64766857226892,77.6,82.0,75.6,9.6,1.0,0.0,0.0,0.0
18,87,0,17.147715103853763,11.06665398721974,178,72,75,73,68.0,77,84.0,75,79,1,0,0,4,17.06929143376102,69.8,76.2,76.6,9.6,0.0,0.0,0.0,1.0
